"date","Year","week","eBird.DP.RF"
2014-02-24,2014,8,0.69561544778994
2014-03-03,2014,9,0.680756196892576
2014-03-10,2014,10,0.66231881899723
2014-03-17,2014,11,0.56979541414161
2014-03-24,2014,12,0.564215413700562
2014-03-31,2014,13,0.555210462363151
2014-04-07,2014,14,0.541247813282173
2014-04-14,2014,15,0.521951869661075
2014-04-21,2014,16,0.510953765341221
2014-04-28,2014,17,0.489824895662749
2014-05-05,2014,18,0.471876004668875
2014-05-12,2014,19,0.443872672035095
2014-05-19,2014,20,0.428094437643927
2014-05-26,2014,21,0.419003009947081
2014-06-02,2014,22,0.41837206440359
2014-06-09,2014,23,0.42178306184056
2014-06-16,2014,24,0.430392584650385
2014-06-23,2014,25,0.440142702424755
2014-06-30,2014,26,0.45632633446743
2014-07-07,2014,27,0.46797609075527
2014-07-14,2014,28,0.473704650972535
2014-07-21,2014,29,0.477955861320693
2014-07-28,2014,30,0.482463302484707
2014-08-04,2014,31,0.488320174236475
2014-08-11,2014,32,0.49466437746417
2014-08-18,2014,33,0.494411792811509
2014-08-25,2014,34,0.495330883247557
2014-09-01,2014,35,0.50298910882566
2014-09-08,2014,36,0.50864999741974
2014-09-15,2014,37,0.521512041804716
2014-09-22,2014,38,0.533957679774804
2014-09-29,2014,39,0.555273054837321
2014-10-06,2014,40,0.56460303622867
2014-10-13,2014,41,0.573874829566736
2014-10-20,2014,42,0.578690676410291
2014-10-27,2014,43,0.585863363005792
2014-11-03,2014,44,0.595764579335054
2014-11-10,2014,45,0.608024289825727
2014-11-17,2014,46,0.628943904399733
2014-11-24,2014,47,0.637076143255153
2014-12-01,2014,48,0.638274100379903
2014-12-08,2014,49,0.640789714758211
2014-12-15,2014,50,0.645750568615748
2014-12-22,2014,51,0.646497421722301
2014-12-29,2014,52,0.646068637428992
2015-01-05,2015,1,0.687099370068291
2015-01-12,2015,2,0.69137652205817
2015-01-19,2015,3,0.694616582005926
2015-01-26,2015,4,0.698546669172182
2015-02-02,2015,5,0.699620910906638
2015-02-09,2015,6,0.699996120620233
2015-02-16,2015,7,0.698705359038636
2015-02-23,2015,8,0.695995732669166
2015-03-02,2015,9,0.681283431876899
2015-03-09,2015,10,0.662567614160015
2015-03-16,2015,11,0.571727787493929
2015-03-23,2015,12,0.565916364243783
2015-03-30,2015,13,0.556941453877479
2015-04-06,2015,14,0.54296322368156
2015-04-13,2015,15,0.523627465868173
2015-04-20,2015,16,0.51248514529368
2015-04-27,2015,17,0.491654066982245
2015-05-04,2015,18,0.4744451626484
2015-05-11,2015,19,0.448104375109366
2015-05-18,2015,20,0.432742493119222
2015-05-25,2015,21,0.423893762446636
2015-06-01,2015,22,0.423114391278108
2015-06-08,2015,23,0.426741735941569
2015-06-15,2015,24,0.434967646715446
2015-06-22,2015,25,0.444807367732901
2015-06-29,2015,26,0.46016388622795
2015-07-06,2015,27,0.472203516472439
2015-07-13,2015,28,0.478192250615933
2015-07-20,2015,29,0.482443453965272
2015-07-27,2015,30,0.486963628158774
2015-08-03,2015,31,0.492897155472279
2015-08-10,2015,32,0.499344579797359
2015-08-17,2015,33,0.498962603020513
2015-08-24,2015,34,0.499699041970787
2015-08-31,2015,35,0.507175735971286
2015-09-07,2015,36,0.513306304455954
2015-09-14,2015,37,0.525404110078913
2015-09-21,2015,38,0.537432601582973
2015-09-28,2015,39,0.557536126004313
2015-10-05,2015,40,0.566195649345798
2015-10-12,2015,41,0.574868678019798
2015-10-19,2015,42,0.579940334875675
2015-10-26,2015,43,0.587087088671622
2015-11-02,2015,44,0.596776584304568
2015-11-09,2015,45,0.608917668339861
2015-11-16,2015,46,0.629340871098962
2015-11-23,2015,47,0.637440927812674
2015-11-30,2015,48,0.638932471265482
2015-12-07,2015,49,0.641401643372924
2015-12-14,2015,50,0.646290716054718
2015-12-21,2015,51,0.645940899598377
2015-12-28,2015,52,0.645389874618291
2016-01-04,2016,1,0.680532824530895
2016-01-11,2016,2,0.684928153756668
2016-01-18,2016,3,0.6883278965773
2016-01-25,2016,4,0.693095798617549
2016-02-01,2016,5,0.694358771973559
2016-02-08,2016,6,0.695003949365949
2016-02-15,2016,7,0.693626742637162
2016-02-22,2016,8,0.690555661126936
2016-02-29,2016,9,0.675741092844277
