"actual_city_town","week","year","ncoh","zscore"
"Sudbury",46,2017,0.000863886703383163,-0.12559597340279
"Sudbury",47,2015,0.000896931549960661,-0.125332477059839
"Sudbury",48,2015,0.00101966955153423,-0.124353776357448
"Sudbury",48,2018,0.00282140047206924,-0.109986951944142
"Sudbury",51,2015,0.0244752163650669,0.0626784373584756
"Sudbury",52,2014,0.00654602675059009,-0.0802871498600423
"Sudbury",52,2015,0.00788040912667191,-0.0696469165827645
"Sunderland",21,2018,0.00124844720496894,-0.122529525944068
"Sunderland",24,2018,0.0953167701863354,0.627561990899133
"Sunderland",30,2018,0.00163975155279503,-0.119409303721478
"Sunderland",33,2017,0.00693167701863354,-0.077212012711217
"Sunderland",46,2017,0.00322981366459627,-0.106730305483653
"Sutton",1,2017,0.0354199360650974,0.149950551296828
"Sutton",2,2016,0.000668410345829701,-0.127154682571798
"Sutton",3,2017,0.000674222609706481,-0.12710833615369
"Sutton",4,2016,0.0844056960185992,0.540558163112312
"Sutton",5,2016,0.00027027027027027,-0.130329412212206
"Sutton",10,2015,0.00047369950595757,-0.128707287578421
"Sutton",10,2016,0.000836965998256321,-0.125810636446662
"Sutton",13,2017,0.00111886079628015,-0.123562835168416
"Sutton",16,2015,0.00989247311827957,-0.0536029170341649
"Sutton",17,2013,0.00142981691368788,-0.12108330179963
"Sutton",17,2015,0.00213891310665504,-0.115429038790436
"Sutton",18,2015,0.00025573961057832,-0.130445278257477
"Sutton",18,2017,0.0004068584713746,-0.129240271386665
"Sutton",18,2018,0.00211566405114792,-0.115614424462869
"Sutton",19,2013,0.00566695727986051,-0.0872967629987895
"Sutton",20,2016,0.00048532403371113,-0.128614594742205
"Sutton",21,2017,0.001453065969195,-0.120897916127198
"Sutton",21,2018,0.00146469049694856,-0.120805223290982
"Sutton",22,2016,0.0041557686718977,-0.0993468317069084
"Sutton",22,2017,0.00591107236268526,-0.0853502134382473
"Sutton",23,2013,0.00032839290903807,-0.129865948031125
"Sutton",23,2017,0.00314443475733798,-0.107411108457726
"Sutton",23,2018,0.000671316477768091,-0.127131509362744
"Sutton",24,2015,0.000985178727114211,-0.124628802784904
"Sutton",24,2016,0.00355710549258936,-0.104120512772048
"Sutton",24,2018,0.00251380412670735,-0.112439694822461
"Sutton",25,2013,0.002324905550712,-0.113945953410975
"Sutton",25,2016,0.00831734960767219,-0.0661627963414734
"Sutton",25,2018,0.0343301365882011,0.14126059790155
"Sutton",26,2016,0.00239174658529497,-0.113412969602732
"Sutton",27,2016,0.0397907585004359,0.184803057714156
"Sutton",27,2018,0.00043010752688172,-0.129054885714232
"Sutton",28,2013,0.000959023539668701,-0.124837361666391
"Sutton",28,2016,0.00237721592560302,-0.113528835648002
"Sutton",29,2017,0.00123801220575414,-0.122612733597199
"Sutton",30,2017,0.000671316477768091,-0.127131509362744
"Sutton",34,2016,0.00019761697181052,-0.130908742438558
"Sutton",34,2017,0.00498401627433886,-0.0927424671264971
"Sutton",35,2013,0.000674222609706481,-0.12710833615369
"Sutton",36,2013,0.00664341761115955,-0.0795105647566204
"Sutton",36,2016,0.00025573961057832,-0.130445278257477
"Sutton",37,2013,0.002034292356873,-0.116263274316383
"Sutton",37,2015,0.00318512060447544,-0.107086683530969
"Sutton",37,2017,0.00018308631211857,-0.131024608483829
"Sutton",39,2015,0.000784655623365301,-0.126227754209635
"Sutton",39,2017,0.000656785818076141,-0.127247375408014
"Sutton",43,2015,0.000540540540540541,-0.128174303770177
"Sutton",43,2017,0.000636442894507411,-0.127409587871393
"Sutton",43,2018,0.00371403661726242,-0.102869159483128
"Sutton",44,2013,0.00151700087183958,-0.120388105528008
"Sutton",44,2015,0.00189189189189189,-0.117398761560033
"Sutton",44,2016,0.00339436210403952,-0.105418212479076
"Sutton",45,2016,0.000677128741644871,-0.127085162944636
"Sutton",46,2015,0.00272595175820982,-0.110748050561513
"Sutton",46,2016,0.00188317349607672,-0.117468281187195
"Sutton",46,2018,0.000778843359488521,-0.126274100627743
"Sutton",47,2016,0.00018308631211857,-0.131024608483829
"Sutton",48,2015,0.00319965126416739,-0.106970817485699
"Sutton",48,2016,0.00034001743679163,-0.129773255194909
"Sutton",48,2017,0.0343882592269689,0.141724062082631
"Sutton",49,2016,0.00116826503923278,-0.123168890614497
"Swampscott",2,2016,0.0133648771610555,-0.0259143101472939
"Swampscott",6,2016,0.0108535031847134,-0.0459397582000688
"Swampscott",6,2017,0.0110555050045496,-0.0443290156393021
"Swampscott",11,2016,0.00154686078252957,-0.120150005549265
"Swampscott",16,2015,0.00158325750682439,-0.119859781664442
"Swampscott",17,2015,0.00816742493175614,-0.0673582808999933
"Swampscott",22,2015,0.00232029117379436,-0.11398274799678
"Swampscott",25,2018,0.0137943585077343,-0.0224896683063846
"Swampscott",27,2015,0.00324112829845314,-0.106640083710763
"Swampscott",28,2013,0.00223839854413103,-0.114635751737632
"Swampscott",28,2015,0.0220127388535032,0.0430428848866093
"Swampscott",28,2017,0.00524112829845314,-0.0906922812397485
"Swampscott",29,2018,0.00736669699727025,-0.0737432063660955
"Swampscott",31,2016,0.00216196542311192,-0.115245221895759
"Swampscott",31,2018,0.00169244767970883,-0.118989110009974
"Swampscott",34,2013,0.003122838944495,-0.107583311336437
"Swampscott",34,2018,0.0141783439490446,-0.0194278063215038
"Swampscott",36,2015,0.00393448589626934,-0.101111318704888
"Swampscott",36,2018,0.00266424021838035,-0.111240132285204
"Swampscott",37,2016,0.219253867151956,1.61582416151846
"Swampscott",40,2018,0.00245677888989991,-0.112894408428695
"Swampscott",41,2015,0.0638125568698817,0.376350505411383
"Swampscott",42,2015,0.0305659690627844,0.111245497819973
"Swampscott",43,2015,0.00569244767970883,-0.0870935050679454
"Swampscott",44,2018,0.00573248407643312,-0.0867742587946403
"Swampscott",45,2015,0.00118289353958144,-0.123052244397493
"Swampscott",45,2016,0.00209645131938126,-0.115767624888441
"Swampscott",47,2015,0.00309554140127389,-0.107800979250054
"Swampscott",49,2015,0.00270791628753412,-0.110891863623417
"Swampscott",49,2016,0.0034631483166515,-0.104869718013343
"Swampscott",49,2017,0.000642402183803458,-0.127362069087112
"Swampscott",51,2015,0.0218962693357598,0.0421141684551763
"Swampscott",52,2015,0.00251137397634213,-0.11245907260146
"Swansea",3,2017,0.00198547215496368,-0.116652561784705
"Swansea",8,2018,0.00474253430185633,-0.0946680205252281
"Swansea",9,2017,0.000274414850686037,-0.130296363737308
"Swansea",15,2013,0.00285230024213075,-0.109740560229472
"Swansea",15,2018,0.000387409200968523,-0.129395357947986
